指标,白酒（折65度，商品量）产量_当期值(万千升),白酒（折65度，商品量）产量_累计值(万千升),白酒（折65度，商品量）产量_同比增长(%),白酒（折65度，商品量）产量_累计增长(%)
2004年11月,31,274.4,-3.2,3
2004年10月,27.7,242.6,5.9,3.8
2004年9月,29.2,215.1,2.7,3.3
2004年8月,21.4,183.1,-26.5,-20.3
2004年7月,20.4,161.5,-25.8,-19.5
2004年6月,23,141.1,-17.5,-18.7
2004年5月,20.1,118.1,-18,-18.6
2004年4月,21.4,97.9,-12.7,-18.7
2004年3月,33.1,96.9,-1.5,-1.3
2004年2月,29.8,62.3,1.6,-1.4
2004年1月,37.6,37.6,9.1,9.1
2003年12月,43.1,331.4,1.2,2
2003年11月,33.4,288,8.1,2.4
2003年10月,30.2,254.5,7.6,1.6
2003年9月,30.8,224,10.8,0.9
2003年8月,23.6,194.1,17,-0.4
2003年7月,19.2,170.8,-1,-2.4
2003年6月,25.3,152,10,-2.4
2003年5月,20.4,126.5,-9.5,-4.9
2003年4月,22.8,105.8,-4.3,-3.8
2003年3月,23.8,81.4,-4.2,-4.6
2003年2月,22.8,53,-6.4,-4.6
2003年1月,33.3,33.3,-7.9,-7.9
2002年12月,49,378.5,9.2,-6.1
2002年11月,34.7,324.4,-2.1,-8
2002年10月,31.2,289.8,-2,-8.6
2002年9月,32.5,258.6,2,-9.3
2002年8月,23.6,225.9,1.6,-10.4
2002年7月,21.6,202.9,-6.3,-11.7
2002年6月,28.1,181,-12.6,-12.3
2002年5月,27.4,152.6,-16.8,-12.7
2002年4月,27.3,125,-18.3,-12
2002年3月,27,93.6,-13.3,-9.9
2002年2月,29.8,66.6,-2.3,-8.4
2002年1月,38.5,38.5,-12.2,-12.2
2001年12月,47.3,420.2,-15.4,-9.3
2001年11月,36.5,366.2,-21.6,-8.8
2001年10月,31.9,330.1,-16.9,-6.6
2001年9月,32.7,294,-18.9,-7
2001年8月,23.7,260.8,-19,-5.3
2001年7月,23.7,236.8,-5.6,-3.7
2001年6月,31.4,213,-2.2,-3.5
2001年5月,33,180.8,3,-4
2001年4月,33.2,147.9,-1.9,-5.3
2001年3月,34.3,114.9,1.7,-6.2
2001年2月,33.9,80.2,-13.6,-9
2001年1月,46.8,46.8,-2.9,-2.9
2000年12月,62.8,476.1,0.5,1.1
2000年11月,45.4,401.3,-0.1,1.5
2000年10月,39.7,355,4.3,1.4
2000年9月,40.3,315.3,2.2,1.2
2000年8月,29,275.4,9.5,1.2
2000年7月,24,246.4,-7.9,0.3
2000年6月,32.9,221.7,3.9,1
2000年5月,30.2,189,1.2,-0.1
2000年4月,33.1,157.6,2.6,-1.2
1999年12月,64.7,502.3,1.5,1.9
1999年11月,49.5,435.8,-1.4,2.3
1999年10月,40.1,384.7,-15.9,2.8
1999年9月,41.3,343,0.2,5.4
1999年8月,30.9,301.8,8.8,5.8
1999年7月,29,271,4.3,5.4
1999年6月,36.8,241.6,3.7,5.5
