"报表期起始日","报表期截止日","销售商品、提供劳务收到的现金","客户存款和同业存放款项净增加","向中央银行借款净增加额","向其他金融机构拆入资金净增加","收到原保险合同保费取得的现金","收到再保险业务现金净额","保户储金及投资款净增加额","处置交易性金融资产净增加额","收取利息、手续费及佣金的现金","拆入资金净增加额","回购业务资金净增加额","收到的税费返还","收到的其他与经营活动有关的现","特殊处理本身不平经营流入","特殊处理格式不同经营流入","经营活动现金流入小计","购买商品、接受劳务支付的现金","客户贷款及垫款净增加额","存放中央银行和同业款项净增加","支付原保险合同赔付款项的现金","支付利息、手续费及佣金的现金","支付保单红利的现金","支付给职工以及为职工支付的现","支付的各项税费","支付的其他与经营活动有关的现","特殊处理本身不平经营流出","特殊处理格式不同经营流出","经营活动现金流出小计","特殊处理本身不平经营净额","特殊处理格式不同经营净额","一、经营活动产生的现金流量净","收回投资所收到的现金","取得投资收益收到的现金","处置固定资产、无形资产和其他","处置子公司及其他营业单位收到","收到的其他与投资活动有关的现","减少质押和定期存款所收到的现","特殊处理本身不平投资流入","特殊处理格式不同投资流入","投资活动现金流入小计","购建固定资产、无形资产和其他","投资所支付的现金","质押贷款净增加额","取得子公司及其他营业单位支付","支付的其他与投资活动有关的现","增加质押和定期存款所支付的现","特殊处理本身不平投资流出","特殊处理格式不同投资流出","投资活动现金流出小计","特殊处理本身不平投资净额","特殊处理格式不同投资净额","二、投资活动产生的现金流量净","吸收投资收到的现金","其中：子公司吸收少数股东投资","取得借款收到的现金","发行债券收到的现金","收到其他与筹资活动有关的现金","特殊处理本身不平筹资流入","特殊处理格式不同筹资流入","筹资活动现金流入小计","偿还债务支付的现金","分配股利、利润或偿付利息所支","其中：子公司支付给少数股东的","支付其他与筹资活动有关的现金","特殊处理本身不平筹资流出","特殊处理格式不同筹资流出","筹资活动现金流出小计","特殊处理本身不平筹资净额","特殊处理格式不同筹资净额","三、筹资活动产生的现金流量净","四、汇率变动对现金及现金等价","特殊处理本身不平现金净额","特殊处理格式不同现金净额","五、现金及现金等价物净增加额","期初现金及现金等价物余额","特殊处理本身不平现金期末","特殊处理格式不同现金期末","六、期末现金及现金等价物余额","净利润","少数股东权益","未确认的投资损失","资产减值准备","固定资产折旧、油气资产折耗、","投资性房地产折旧、摊销","无形资产摊销","长期待摊费用摊销","待摊费用的减少","预提费用的增加","处置固定资产、无形资产和其他","固定资产报废损失","公允价值变动损失","递延收益增加（减：减少）","预计负债","财务费用","投资损失","递延所得税资产减少","递延所得税负债增加","存货的减少","经营性应收项目的减少","经营性应付项目的增加","已完工尚未结算款的减少(减:","已结算尚未完工款的增加(减:","其他","特殊处理本身不平经营净额附表","特殊处理格式不同经营净额附表","经营活动产生现金流量净额","债务转为资本","一年内到期的可转换公司债券","融资租入固定资产","现金的期末余额","现金的期初余额","现金等价物的期末余额","现金等价物的期初余额","特殊处理本身不平现金净额附表","特殊处理格式不同现金净额附表","现金及现金等价物的净增加额"
20170101,20170331,2314332195.86,,,,,,,,,,,,33064356.8,,,2347396552.66,764479823.55,,,,,,151418932.36,866455949.48,420174199.17,,,2202528904.56,,,144867648.1,,,,,,,,,0,282295816.04,10730800,,,,,,,293026616.04,,,-293026616.04,,,,,16102340.42,,,16102340.42,197036564.63,,,,,,197036564.63,,,-180934224.21,,,,-329093192.15,4826448031.74,,,4497354839.59,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4497354839.59,4826448031.74,,,,,-329093192.15
20160101,20161231,7895095979.8,,,,,,,,,,,3766167.84,183063910.35,,,8081926057.99,1812517047.78,,,,,,284703518.51,2090602536.9,1269014546.31,,,5456837649.5,,,2625088408.49,,8542597.21,104354.97,,2611820,,,,11258772.18,237062629.25,10025000,,628223.6,,,,,247715852.85,,,-236457080.67,4250000,,,,1203781.93,,,5453781.93,,1174872146.76,,,,,1174872146.76,,,-1169418364.83,68694.15,,,1219281657.14,3545811282.07,,,4765092939.21,1949696750.85,,,515482.12,149634792.64,,8299102.26,,,,18725437.47,,,,,16860448.43,-225053594.7,11564079.48,-16486100.98,371711402.81,328812706.41,10807901.7,,,,,,2625088408.49,,,,4765092939.21,3545811282.07,,,,,1219281657.14
20160101,20160930,6504785550.4,,,,,,,,,,,226411.2,73208183.89,,,6578220145.49,2044144598.99,,,,,,220748334.76,1394276736.84,1094637969.48,,,4753807640.07,,,1824412505.42,,28371206.15,,,,,,,28371206.15,23465951.04,7967140,,,,,,,31433091.04,,,-3061884.89,4250000,,,,54234423.19,,,58484423.19,,1156327377.04,,,,,1156327377.04,,,-1097842953.85,58821.67,,,723566488.35,3546111282.07,,,4269677770.42,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4269677770.42,3546111282.07,,,,,723566488.35
20160101,20160630,4653539842.12,,,,,,,,,,,226411.2,47071242.42,,,4700837495.74,1386536265.02,,,,,,153701727.76,954550384.52,644275781.8,,,3139064159.1,,,1561773336.64,,,,,,,,,0,15200299.73,8717140,,,,,,,23917439.73,,,-23917439.73,4250000,,,,38131900.85,,,42381900.85,,36202505.07,,,,,36202505.07,,,6179395.78,,,,1544035292.69,3546111282.07,,,5090146574.76,1152268462.6,,,687802.28,72690888.8,,4149581.33,,,,521471.15,,,,,-28632420.75,-74131081,103701615.05,-17989362.92,419547308.19,-596893415.61,525852487.52,,,,,,1561773336.64,,,,5090146574.76,3546111282.07,,,,,1544035292.69
20160101,20160331,2501355025.6,,,,,,,,,,,,33741988.34,,,2535097013.94,814948490.3,,,,,,105399352.91,587444398.2,302195177.31,,,1809987418.72,,,725109595.22,,,,,,,,,0,5978350.27,25000,,,,,,,6003350.27,,,-6003350.27,,,,,12675662.23,,,12675662.23,,4602428.96,,,,,4602428.96,,,8073233.27,,,,727179478.22,3539506611.4,,,4266686089.62,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4266686089.62,3539506611.4,,,,,727179478.22
20150101,20151231,6308309785.29,,,,,,,,,,,,315818639.61,,,6624128424.9,4259266084.12,,,,,,229007593.18,1234920541.08,748142772.83,,,6471336991.21,,,152791433.69,25000,2824606.35,214001.04,,7000000,,,,10063607.39,79223291.48,41120000,,,,,,,120343291.48,,,-110279684.09,1200000,,,,21910000,,,23110000,,1213752368.78,,,,,1213752368.78,,,-1190642368.78,-360243.75,,,-1148490862.93,4687697474.33,,,3539206611.4,1550723540.98,,,630892.17,153564668.04,,8273154.67,88401.43,,,1078823.03,,,,,3247459.86,-298248942.47,-35216223.84,68802138.43,-33006166.53,-684016152.11,-583130159.97,,,,,,152791433.69,,,,3539206611.4,4687697474.33,,,,,-1148490862.93
20150101,20150930,4660649223.83,,,,,,,,,,,816873.09,272623683.45,,,4934089780.37,2963118939.98,,,,,,156081920.61,900121581.25,873719626.34,,,4893042068.18,,,41047712.19,,1646906.65,,,,,,,1646906.65,29094019.47,41120000,,,,,,,70214019.47,,,-68567112.82,46661884.3,,,,,,,46661884.3,,1185639134.42,,,,,1185639134.42,,,-1138977250.12,,,,-1166496650.75,4709607474.33,,,3543110823.58,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3543110823.58,4709607474.33,,,,,-1166496650.75
20150101,20150630,1693798001.2,,,,,,,,,,,262882.77,208465745.44,,,1902526629.41,1903567105.06,,,,,,113639275.12,579524881.65,539873807.1,,,3136605068.93,,,-1234078439.52,,1600000,,,,,,,1600000,24116299.6,,,,,,,,24116299.6,,,-22516299.6,29688937.89,,,,,,,29688937.89,,44105256.68,,,,,44105256.68,,,-14416318.79,,,,-1271011057.91,4709607474.33,,,3438596416.42,1060213585.58,,,493871.47,78191843.43,,4130715.27,88401.43,,,161899.42,,,,,-35499771.41,-232520604.5,-14458540.89,100200702.6,-65406052.05,-1254299385.14,-875375104.73,,,,,,-1234078439.52,,,,3438596416.42,4709607474.33,,,,,-1271011057.91
20150101,20150331,1233484639.91,,,,,,,,,,,241698.15,43508023.82,,,1277234361.88,934478745.81,,,,,,79180883.49,318681128.91,261951587.36,,,1594292345.57,,,-317057983.69,,,,,,,,,0,14251016.33,,,,,,,,14251016.33,,,-14251016.33,,,,,18772782.23,,,18772782.23,,3705822.86,,,,,3705822.86,,,15066959.37,,,,-316242040.65,4709607474.33,,,4393365433.68,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4393365433.68,4709607474.33,,,,,-316242040.65
20140101,20141231,7810551168.54,,,,,,,,,,,,303819470.04,,,8114370638.58,4083637940.19,,,,,,225184999.13,1485797717.6,1012639895.82,,,6807260552.74,,,1307110085.84,125000,2672239.45,133688.17,,18950940,,,,21881867.62,164162379.59,1000000,,,,,,,165162379.59,,,-143280511.97,8400000,8400000,,,2923035.46,,,11323035.46,,1803112986.57,50042616.57,32810000,,,1835922986.57,,,-1824599951.11,-966815.69,,,-661737192.93,5349434667.26,,,4687697474.33,976065992.85,,,204540377.06,145728924.16,,8260433.31,442679.1,,,884889.99,,,,,177392.54,-145409791.88,-171783492.44,1689878.61,-412225763.99,944581757.15,-245843190.62,,,,,,1307110085.84,,,,4687697474.33,5349434667.26,,,,,-661737192.93
