"报表期起始日","报表期截止日","营业总收入","营业收入","利息收入","已赚保费","手续费及佣金收入","房地产销售收入","其他业务收入","特殊处理本身不平营业总收入","特殊处理格式不同营业总收入","营业总成本","营业成本","利息支出","手续费及佣金支出","房地产销售成本","研发费用","退保金","赔付支出净额","提取保险合同准备金净额","保单红利支出","分保费用","其他业务成本","营业税金及附加","销售费用","管理费用","财务费用","资产减值损失","特殊处理本身不平营业总成本","特殊处理格式不同营业总成本","公允价值变动收益","投资收益","其中:对联营企业和合营企业的投资收益","汇兑收益","期货损益","托管收益","补贴收入","其他业务利润","特殊处理本身不平营业利润","特殊处理格式不同营业利润","营业利润","营业外收入","营业外支出","非流动资产处置损失","特殊处理本身不平利润总额","特殊处理格式不同利润总额","利润总额","所得税费用","未确认投资损失","特殊处理本身不平净利润1","特殊处理格式不同净利润1","净利润","归属于母公司所有者的净利润","被合并方在合并前实现净利润","少数股东损益","特殊处理本身不平净利润2","特殊处理格式不同净利润2","基本每股收益","稀释每股收益","其他综合收益","归属于母公司所有者的其他综合收益","归属于少数股东的其他综合收益","综合收益总额","归属于母公司所有者的综合收益总额","归属于少数股东的综合收益总额","年初未分配利润","减少注册资本减少的未分配利润","其他转入","可分配利润","提取法定盈余公积","提取公益金","提取资本公积金","提取职工奖福基金","提取储备基金","提取企业发展基金","利润归还投资","补充流动资本","可供股东分配的利润","应付优先股股利","提取任意公积","应付普通股股利","转作资本股本的普通股股利","未分配利润","出售处置部门或被投资单位所得收益","自然灾害发生的损失","会计政策变更增加减少利润总额","会计估计变更增加减少利润总额","债务重组损失","其他补充资料"
20170101,20170331,7588577705.68,7588577705.68,,,,,,,,4041757171.24,2941911478.63,,,,,,,,,,,146365847.37,506874763.47,458519929.57,-19138230.58,7223382.78,,,,107575018.75,-404519.09,,,,,,,,3654395553.19,11028453.72,6527421.75,4600571.98,,,3658896585.16,921279116.24,,,,2737617468.92,2742957007.05,,-5339538.13,,,1.82,1.82,-3062.36,-5922.79,2860.43,2737614406.56,2742951084.26,-5336677.7,,,,,,,,,,,,,,,,,,,,,,,,
20160101,20161231,17183109620.08,17183109620.08,,,,,,,,10003035000.07,6202978828.59,,,,,,,,,,,309567399.64,1869001821.53,1582435251.45,-8947212.14,47998911,,,,547210021.5,-3893529.35,,,,,,,,7727284641.51,45877768.15,12196845.92,6551591.02,,,7760965563.74,1956036449.75,,,,5804929113.99,5827168870.88,,-22239756.89,,,3.87,3.87,1143061.03,1125312.56,17748.47,5806072175.02,5828294183.44,-22222008.42,,,,,,,,,,,,,,,,,,,,,,,,
20160101,20160930,14667079390.71,14667079390.71,,,,,,,,8505632899.14,5735804449.8,,,,,,,,,,,234477497.29,1330198551.51,1209259128.7,-25445046.18,21338318.02,,,,267042965.32,-3239457.93,,,,,,,,6428489456.89,21957881.08,9921344.89,6095887.48,,,6440525993.08,1617787820.25,,,,4822738172.83,4839158417.69,,-16420244.86,,,3.21,3.21,179998.53,179998.53,,4822918171.36,4839338416.22,-16420244.86,,,,,,,,,,,,,,,,,,,,,,,,
20160101,20160630,10193599291.72,10193599291.72,,,,,,,,5795578336.82,4009582190.79,,,,,,,,,,,162047048.76,834496994.51,818347509.16,-28737363.73,-158042.67,,,,150481081.97,-3332089.67,,,,,,,,4548502036.87,12742512.53,5934926.59,5232600.53,,,4555309622.81,1135862890.04,,,,3419446732.77,3423805126.79,,-4358394.02,,,2.27,2.27,-17772.3,-17772.3,,3419428960.47,3423787354.49,-4358394.02,,,,,,,,,,,,,,,,,,,,,,,,
20160101,20160331,6843010210.81,6843010210.81,,,,,,,,3643576437.96,2695932516.53,,,,,,,,,,,116281807.27,439268461.73,420191874.14,-28723228.75,625007.04,,,,78360358.88,-3383871.5,,,,,,,,3277794131.73,3788185.32,668896.04,612323.6,,,3280913421.01,824858564.48,,,,2456054856.53,2456001858.67,,52997.86,,,1.63,1.63,4399.06,4399.06,,2456059255.59,2456006257.73,52997.86,,,,,,,,,,,,,,,,,,,,,,,,
20150101,20151231,16052444099.28,16052444099.28,,,,,,,,9490295982.52,6115069097.67,,,,,,,,,,,229394196.11,1882406796.81,1447878278.72,-196359141.05,11906754.26,,,,577938625,-242574.86,,,,,,,,7140086741.76,36262587.96,11030365.76,764862.54,,,7165318963.96,1800119665.74,,,,5365199298.22,5365185534.99,,13763.23,,,3.56,3.56,16772.42,16772.42,,5365216070.64,5365202307.41,13763.23,,,,,,,,,,,,,,,,,,,,,,,,
20150101,20150930,13661026388.95,13661026388.95,,,,,,,,7843196571.98,5330693261.55,,,,,,,,,,,209895890.25,1266410064.13,1084789772.11,-52202946.21,3610530.15,,,,156704655.44,-293523.09,,,,,,,,5974534472.41,16176501.95,8891755.04,673510.42,,,5981819219.32,1520647580.74,,,,4461171638.58,4461169759.36,,1879.22,,,2.96,2.96,11011.54,11011.54,,4461182650.12,4461180770.9,1879.22,,,,,,,,,,,,,,,,,,,,,,,,
20150101,20150630,9571451211.53,9571451211.53,,,,,,,,5415141859.45,3762356327.94,,,,,,,,,,,147865321.6,829625855.69,699310538.66,-26817544.03,2801359.59,,,,87508922.51,-295328.52,,,,,,,,4243818274.59,11054103.66,6921980.41,539571.28,,,4247950397.84,1063206223.65,,,,3184744174.19,3184862528.64,,-118354.45,,,2.11,2.11,-194.34,-194.34,,3184743979.85,3184862334.3,-118354.45,,,,,,,,,,,,,,,,,,,,,,,,
20150101,20150331,6259682602.64,6259682602.64,,,,,,,,3306351281.23,2502938317.26,,,,,,,,,,,105768103.95,383676382.59,345671905.21,-32200792.4,497364.62,,,,18214285.73,-65427.39,,,,,,,,2971545607.14,5491560.82,4138192.16,209723.57,,,2972898975.8,745763759.09,,,,2227135216.71,2227129508.74,,5707.97,,,2.07,2.07,1013.36,1013.36,,2227136230.07,2227130522.1,5707.97,,,,,,,,,,,,,,,,,,,,,,,,
20140101,20141231,14672214730.18,14672214730.18,,,,,,,,8715727654.27,5777412894.21,,,,,,,,,,,190351431.49,1679836848.12,1267056865.29,-236686300.28,37755915.44,,,,53024440,-176414.08,,,,,,,,6009511515.91,45335683.99,24137916.85,4357554.34,,,6030709283.05,1522665050.92,,,,4508044232.13,4507497244.21,,546987.92,,,4.19,4.19,-314.82,-314.82,,4508043917.31,4507496929.39,546987.92,,,,,,,,,,,,,,,,,,,,,,,,
