"报表期起始日","报表期截止日","营业总收入","营业收入","利息收入","已赚保费","手续费及佣金收入","房地产销售收入","其他业务收入","特殊处理本身不平营业总收入","特殊处理格式不同营业总收入","营业总成本","营业成本","利息支出","手续费及佣金支出","房地产销售成本","研发费用","退保金","赔付支出净额","提取保险合同准备金净额","保单红利支出","分保费用","其他业务成本","营业税金及附加","销售费用","管理费用","财务费用","资产减值损失","特殊处理本身不平营业总成本","特殊处理格式不同营业总成本","公允价值变动收益","投资收益","其中:对联营企业和合营企业的投资收益","汇兑收益","期货损益","托管收益","补贴收入","其他业务利润","特殊处理本身不平营业利润","特殊处理格式不同营业利润","营业利润","营业外收入","营业外支出","非流动资产处置损失","特殊处理本身不平利润总额","特殊处理格式不同利润总额","利润总额","所得税费用","未确认投资损失","特殊处理本身不平净利润1","特殊处理格式不同净利润1","净利润","归属于母公司所有者的净利润","被合并方在合并前实现净利润","少数股东损益","特殊处理本身不平净利润2","特殊处理格式不同净利润2","基本每股收益","稀释每股收益","其他综合收益","归属于母公司所有者的其他综合收益","归属于少数股东的其他综合收益","综合收益总额","归属于母公司所有者的综合收益总额","归属于少数股东的综合收益总额","年初未分配利润","减少注册资本减少的未分配利润","其他转入","可分配利润","提取法定盈余公积","提取公益金","提取资本公积金","提取职工奖福基金","提取储备基金","提取企业发展基金","利润归还投资","补充流动资本","可供股东分配的利润","应付优先股股利","提取任意公积","应付普通股股利","转作资本股本的普通股股利","未分配利润","出售处置部门或被投资单位所得收益","自然灾害发生的损失","会计政策变更增加减少利润总额","会计估计变更增加减少利润总额","债务重组损失","其他补充资料"
20170101,20170331,2670359546.2,2670359546.2,,,,,,,,1589363525.87,794321420.15,,,,,,,,,,,227799358.29,442424014.38,139928281.55,-14455905.88,-653642.62,,,,18196327.05,,,,,,,,,1099192347.38,7005490.35,3926452.2,1443799.66,,,1102271385.53,280438466.28,,,,821832919.25,797468049.82,,24364869.43,,,0.57,0.57,676803.05,820309.61,-143506.56,822509722.3,798288359.43,24221362.87,,,,,,,,,,,,,,,,,,,,,,,,
20160101,20161231,8303996837.62,8303996837.62,,,,,,,,5989074605.75,3119542278.93,,,,,,,,,,,844638245.32,1539282364.18,543882783.75,-58786548.55,515482.12,,,,225053594.7,216510997.49,,,,,,,,2539975826.57,41760199.76,51858220.9,18725437.47,,,2529877805.43,580181054.58,,,,1949696750.85,1927743515.83,,21953235.02,,,1.38,1.38,-48174447.19,-49329820.24,1155373.05,1901522303.66,1878413695.59,23108608.07,,,,,,,,,,,,,,,,,,,,,,,,
20160101,20160930,5880861432.27,5880861432.27,,,,,,,,4026093553.41,2229026417.25,,,,,,,,,,,570039454.43,931219194.57,328874284.57,-36934523.01,3868725.6,,,,171855944.81,169468657.14,,,,,,,,2026623823.67,30388828.37,30520794.12,11699053.45,,,2026491857.92,474397468.12,,,,1552094389.8,1506376764.55,-476670.22,45717625.25,,,1.07,1.07,-59403277.77,-59720272.09,316994.32,1492691112.03,1446656492.46,46034619.57,,,,,,,,,,,,,,,,,,,,,,,,
20160101,20160630,4269518789.2,4269518789.2,,,,,,,,2823557366.2,1740459925.61,,,,,,,,,,,310197547.44,594942505.35,206003279.06,-28632420.75,586529.49,,,,72038368.67,69651081,,,,,,,,1517999791.67,14074895.68,4671478.33,531444.65,,,1527403209.02,375134746.42,,,,1152268462.6,1112415943.72,-476670.22,39852518.88,,,0.79,0.79,-55220764.1,-55696679.21,475915.11,1097047698.5,1056719264.51,40328433.99,,,,,,,,,,,,,,,,,,,,,,,,
20160101,20160331,2214524802.62,2214524802.62,,,,,,,,1422818142.37,943670270.99,,,,,,,,,,,119005674.47,286655519.55,87995729.72,-14334137.2,-174915.16,,,,23400653.64,,,,,,,,,815107313.89,6401569.94,1336762.3,,,,820172121.53,204331865.08,,,,615840256.45,594273720.67,,21566535.78,,,0.42,0.42,-49744021.25,-49778675.34,34654.09,566096235.2,544495045.33,21601189.87,,,,,,,,,,,,,,,,,,,,,,,,
20150101,20151231,6900156926.63,6900156926.63,,,,,,,,5264795359.91,3491746368.56,,,,,,,,,,,517981045.97,873874602.76,438865493.38,-58303042.93,630892.17,,,,298248942.47,295424336.12,,,,,,,,1933610509.19,43391801.38,9934696.57,1078823.03,,,1967067614,416344073.02,,,,1550723540.98,1472978108.6,,77745432.38,,,1.05,1.05,211993516.29,211878764.73,114751.56,1762717057.27,1684856873.33,77860183.94,,,,,,,,,,,,,,,,,,,,,,,,
20150101,20150930,5013670235.76,5013670235.76,,,,,,,,3573963688.34,2319785949.32,,,,,,,,,,,352105932.28,634731899.78,311275750.59,-44411815.79,475972.16,,,,311179043.62,,,,,,,,,1750885591.04,6597877.03,4224457.94,161899.42,,,1753259010.13,367949703.14,,,,1385309306.99,1322809752.92,,62499554.07,,,0.94,0.94,208303296.44,208049834.67,253461.77,1593612603.43,1530859587.59,62753015.84,,,,,,,,,,,,,,,,,,,,,,,,
20150101,20150630,3696125200.11,3696125200.11,,,,,,,,2584286036.84,1749297496.88,,,,,,,,,,,268946155.4,398706265.65,202342018.85,-35499771.41,493871.47,,,,232520604.5,,,,,,,,,1344359767.77,3178916.88,270752.74,161899.42,,,1347267931.91,287054346.33,,,,1060213585.58,1021475057.49,,38738528.09,,,0.73,0.73,309534848.12,310080250.11,-545401.99,1369748433.7,1331555307.6,38193126.1,,,,,,,,,,,,,,,,,,,,,,,,
20150101,20150331,1908910825.07,1908910825.07,,,,,,,,1204132082.66,814741732.97,,,,,,,,,,,115395237.6,194266810.11,94335035.59,-14606733.61,,,,,30880617.85,,,,,,,,,735659360.26,2056302.89,,,,,737715663.15,171906653.28,,,,565809009.87,540205461.96,,25603547.91,,,0.39,0.39,3748336.32,3718562.39,29773.93,569557346.19,543924024.35,25633321.84,,,,,,,,,,,,,,,,,,,,,,,,
20140101,20141231,5353442161.34,5353442161.34,,,,,,,,4306501366.48,2804473426.42,,,,,,,,,,,343613603.48,579235957.08,465590165.22,-90952162.78,204540377.06,,,,145409791.88,142737552.44,,,,,,,,1192350586.74,34943430.8,9770720.31,907514.42,,,1217523297.23,241457304.38,,,,976065992.85,879794569.19,,96271423.66,,,0.63,0.63,8784391.2,9266561.35,-482170.15,984850384.05,889061130.54,95789253.51,,,,,,,,,,,,,,,,,,,,,,,,
20140101,20140930,4773854159.57,4773854159.57,,,,,,,,3144276029.59,2351520369.05,,,,,,,,,,,246447423.93,300628633.29,317923221.08,-73253665.58,1010047.82,,,7995208,68441115.6,,,,,,,,,1706014453.58,21317352.6,6555509.61,582452.1,,,1720776296.57,403789992.21,,,,1316986304.36,1246816989.81,,70169314.55,,,0.89,0.89,,,,1316986304.36,1246816989.81,70169314.55,,,,,,,,,,,,,,,,,,,,,,,,
20140101,20140630,3637050521.08,3637050521.08,,,,,,,,2363220668.17,1808255549.68,,,,,,,,,,,191450185.85,203829309.12,208970697.38,-50296564.08,1011490.22,,,,34053922.94,,,,,,,,,1307883775.85,14503344.45,3719608.34,217516.89,,,1318667511.96,309543380.95,,,,1009124131.01,958400714.61,,50723416.4,,,0.68,0.68,,,,1009124131.01,958400714.61,50723416.4,,,,,,,,,,,,,,,,,,,,,,,,
20140101,20140331,1564804733.5,1564804733.5,,,,,,,,885690580.68,679944366.74,,,,,,,,,,,38883901.94,89777647.11,99854457.51,-22769792.62,,,,,14860475.05,,,,,,,,,693974627.87,2344400.17,9666.25,9576.85,,,696309361.79,170647099.33,,,,525662262.46,492928590,,32733672.46,,,0.35,0.35,,,,525662262.46,492928590,32733672.46,,,,,,,,,,,,,,,,,,,,,,,,
20130101,20131231,10431124740.82,10431124740.82,,,,,,,,5846117190.34,4487145192.31,,,,,,,,,,,422696292.47,679982283.84,413162807.75,-156727167.82,-142218.21,,,,90346682.86,84967124.91,,,,,,,,4675354233.34,25253119.02,20907206.44,2037698.86,,,4679700145.92,1142182420.96,,,,3537517724.96,3437822898.06,,99694826.9,,,2.46,2.46,-4442837.7,,,3533074887.26,3433495673.02,99579214.24,,,,,,,,,,,,,,,,,,,,,,,,
20130101,20130930,8156317445.94,8156317445.94,,,,,,,,4542706069.52,3522976365.86,,,,,,,,,,,337577532.96,446517812.24,366429900.56,-129809328.44,-986213.66,,,,69427971.73,,,,,,,,,3683039348.15,18654881.62,17249322.53,2777733.69,,,3684444907.24,880708784.9,,,,2803736122.34,2700045604.34,,103690518,,,1.93,1.93,,,,2803736122.34,2700045604.34,103690518,,,,,,,,,,,,,,,,,,,,,,,,
20130101,20130630,5255761162.9,5255761162.9,,,,,,,,2815833281.01,2131583003.59,,,,,,,,,,,231696697.61,266664479.78,218159252.68,-31283938.99,-986213.66,,,,42940544.09,,,,,,,,,2482868425.98,10673130.01,5405575.7,2949427.56,,,2488135980.29,600478718.11,,,,1887657262.18,1816139974.03,,71517288.15,,,1.29,1.29,,,,1887657262.18,1816139974.03,71517288.15,,,,,,,,,,,,,,,,,,,,,,,,
