时间,商品名,价格,销量
2017-8-16,蒙牛旗舰店 焕轻舒活牛奶利乐包苗条250ml*12盒（礼盒装）,53.1,2739
2017-8-16,特仑苏纯牛奶250ml*8盒*2提 共16盒,85.6,18603
2017-8-16,蒙牛旗舰店 特仑苏纯牛奶250ml*12盒*2箱,120,64056
2017-8-16,蒙牛真果粒缤纷礼盒装250g*24包*2提 牛奶饮品,146.2,75241
2017-8-16,蒙牛旗舰店 特仑苏醇纤牛奶250ml*12盒整箱,57.8,102244
2017-8-16,蒙牛特仑苏纯牛奶250ml*16包 醇香新贵族 贵在优蛋白,68.9,92044
2017-8-16,蒙牛旗舰店 特仑苏醇纤牛奶250ml*12盒整箱,53.8,53027
2017-8-16,蒙牛旗舰店 纯甄风味酸牛奶200g*6包*2箱,52.8,4389
2017-8-16,蒙牛旗舰店 酸酸乳营养乳味饮品原味250ml*24包,36,12807
2017-8-16,蒙牛旗舰店 真果粒缤纷礼盒装250g*24包整箱 牛奶饮品,64.5,92958
2017-8-16,蒙牛特仑苏低脂牛奶250ml*12盒,57.8,51065
2017-8-16,蒙牛旗舰店 甜小嗨甜牛奶250ml*12盒（男版）,39.9,7201
2017-8-16,蒙牛纯甄风味酸牛奶200g*24盒整箱 经典原味酸奶 好味道 不添加,92.9,479800
2017-8-16,蒙牛旗舰店 早餐奶麦香味250ml*16盒整箱 原麦牛奶,41.9,112810
2017-8-16,蒙牛旗舰店 酸酸乳营养乳味饮品草莓味250ml*24包,36,11047
2017-8-16,蒙牛真果粒桃果粒牛奶饮品250ml*12盒,35.7,9709
2017-8-16,蒙牛纯甄风味酸牛奶200g*12盒整箱 极限挑战定制版（形象随机）,59.4,34137
2017-8-16,蒙牛 新养道零乳糖牛奶低脂型250ml*12盒整箱,36.9,3299
2017-8-16,蒙牛旗舰店 低脂高钙牛奶250ml*16盒,45.9,75745
2017-8-16,蒙牛新养道零乳糖牛奶全脂型250ml*12盒,42,13763
2017-8-16,蒙牛旗舰店 甜小嗨常温风味酸牛奶200g*12盒,43.9,7431
2017-8-16,蒙牛精选牧场纯牛奶250ml*12盒整箱 新包装,40.5,51
2017-8-16,蒙牛早餐奶红枣味牛奶250ml*16盒整箱,41.9,46117
2017-8-16,蒙牛旗舰店 特仑苏低脂牛奶250ml*12盒,61.2,27709
2017-8-16,蒙牛旗舰店 真果粒草莓果粒牛奶饮品250ml*12盒,35.7,15547
2017-8-16,蒙牛 红谷谷粒早餐牛奶饮品250ml*12盒整箱 红豆红米小米红高粱,27,13400
2017-8-16,蒙牛旗舰店 奶特朱古力牛奶243ml*12盒,50,18330
2017-8-16,蒙牛旗舰店 纯甄风味酸牛奶200g*6包,26.9,2751
2017-8-16,【变5定制】蒙牛纯甄风味酸牛奶200g*12盒整箱 经典原味酸奶,56.1,480
2017-8-16,蒙牛精选牧场纯牛奶250ml*12盒整箱 3.2g蛋白含量,40.5,16854
2017-8-16,蒙牛旗舰店 纯牛奶PURE MILK 250ml*16盒整箱,43.2,208463
2017-8-16,蒙牛旗舰店 甜小嗨甜牛奶250ml*12盒（女版）,39.9,8800
2017-8-16,蒙牛旗舰店 焕轻骨力牛奶利乐包苗条250ml*12盒（礼盒装）,53.1,4901
2017-8-16,蒙牛旗舰店 早餐奶核桃味牛奶250ml*16盒整箱,41.9,128160
2017-8-16,蒙牛纯甄风味酸牛奶200g*6盒*2箱,52.8,148582
2017-8-16,特仑苏纯牛奶250ml*12盒*2提,130,8447
2017-8-16,蒙牛奶特香蕉牛奶243ml*12盒,50,17889
2017-8-16,蒙牛旗舰店 纯甄常温酸牛奶200g*16盒 好酸奶不添加 原味酸奶,75.9,1720
2017-8-16,蒙牛旗舰店 红谷谷粒早餐谷物牛奶饮品250ml*12盒*2箱,64.8,29767
2017-8-16,蒙牛旗舰店 纯牛奶250ml*16盒整箱 早餐牛奶 好牛奶自然纯,43.2,133416
2017-8-16,蒙牛旗舰店 特仑苏纯牛奶250ml*12盒整箱,65,50766
2017-8-16,蒙牛旗舰店 小充食谷粒牛奶250ml*12盒整箱 充实扛饿大容量,48,1470
2017-8-16,蒙牛旗舰店 特仑苏有机奶250ml*12盒,66,36269
2017-8-16,蒙牛旗舰店 奶特香草口味牛奶243ml*12盒,50,18638
2017-8-16,蒙牛特仑苏纯牛奶250ml×8包整箱 醇香新贵族 贵在优蛋白,42.8,19397
2017-8-20,蒙牛旗舰店 特仑苏醇纤牛奶250ml*12盒整箱,68,53081
2017-8-20,蒙牛旗舰店 低脂高钙牛奶250ml*16盒,45.9,77927
2017-8-20,蒙牛旗舰店 焕轻舒活牛奶利乐包苗条250ml*12盒（礼盒装）,53.1,2753
2017-8-20,蒙牛纯甄风味酸牛奶200g*6盒*2箱,56,148714
2017-8-20,蒙牛旗舰店 特仑苏醇纤牛奶250ml*12盒整箱,57.8,102726
2017-8-20,蒙牛旗舰店 纯牛奶250ml*16盒整箱 早餐牛奶 好牛奶自然纯,43.2,134803
2017-8-20,蒙牛旗舰店 甜小嗨常温风味酸牛奶200g*12盒,52.9,7506
2017-8-20,蒙牛纯甄风味酸牛奶200g*24盒整箱 经典原味酸奶 好味道 不添加,99,481680
2017-8-20,蒙牛旗舰店 新养道零乳糖牛奶低脂型250ml*12盒整箱,36.9,188675
2017-8-20,蒙牛旗舰店 酸酸乳营养乳味饮品草莓味250ml*24包,39.9,11207
2017-8-20,蒙牛特仑苏纯牛奶250ml*16包 醇香新贵族 贵在优蛋白,81.7,93257
2017-8-20,蒙牛旗舰店 特仑苏有机奶250ml*12盒,68.4,36538
2017-8-20,蒙牛 新养道零乳糖牛奶低脂型250ml*12盒+低脂高钙牛奶250ml*16盒,81.9,274
2017-8-20,蒙牛旗舰店 真果粒缤纷礼盒装250g*24包整箱 牛奶饮品,73.1,94154
2017-8-20,蒙牛旗舰店 纯牛奶PURE MILK 250ml*16盒整箱,43.2,208647
2017-8-20,蒙牛精选牧场纯牛奶250ml*12盒整箱 新包装,45.9,63
2017-8-20,蒙牛精选牧场纯牛奶250ml*12盒整箱 3.2g蛋白含量,45.9,16884
2017-8-20,蒙牛特仑苏低脂牛奶250ml*12盒,61.2,51147
2017-8-20,特仑苏纯牛奶250ml*8盒*2提 共16盒,85.6,18610
2017-8-20,蒙牛旗舰店 红谷谷粒早餐谷物牛奶饮品250ml*12盒*2箱,64.8,29773
2017-8-20,蒙牛 红谷谷粒早餐牛奶饮品250ml*12盒整箱 红豆红米小米红高粱,32.4,13892
2017-8-20,蒙牛黑谷谷粒牛奶饮品250ml*12盒*2箱,64.8,31102
2017-8-20,蒙牛早餐奶红枣味牛奶250ml*16盒整箱,41.9,46499
2017-8-20,蒙牛旗舰店 特仑苏纯牛奶250ml*12盒整箱,65,50814
2017-8-20,蒙牛奶特香蕉牛奶243ml*12盒,50,17940
2017-8-20,蒙牛旗舰店 奶特香草口味牛奶243ml*12盒,50,18661
2017-8-20,蒙牛旗舰店 甜小嗨甜牛奶250ml*12盒（男版）,49.9,7275
2017-8-20,蒙牛真果粒桃果粒牛奶饮品250ml*12盒,37.8,9865
2017-8-20,蒙牛 黑谷谷粒早餐牛奶饮品250ml*12盒整箱 黑豆黑芝麻黑小麦小米,32.4,11352
2017-8-20,蒙牛旗舰店 奶特朱古力牛奶243ml*12盒,50,18355
2017-8-20,蒙牛新养道零乳糖牛奶全脂型250ml*12盒,42,13937
2017-8-20,蒙牛纯甄风味酸牛奶200g*12盒整箱 极限挑战定制版（形象随机）,59.4,34352
2017-8-20,蒙牛旗舰店 特仑苏低脂牛奶250ml*12盒,61.2,27746
2017-8-20,蒙牛真果粒缤纷礼盒装250g*24包*2提 牛奶饮品,146.2,75248
2017-8-20,蒙牛旗舰店 焕轻骨力牛奶利乐包苗条250ml*12盒（礼盒装）,53.1,4947
2017-8-20,【变5定制】蒙牛纯甄风味酸牛奶200g*12盒整箱,59.4,525
2017-8-20,蒙牛酸酸乳go畅乳酸菌乳饮品330ml*12瓶 0脂肪才go畅,54,9228
2017-8-20,蒙牛旗舰店 真果粒草莓果粒牛奶饮品250ml*12盒,37.8,15885
2017-8-20,特仑苏纯牛奶250ml*12盒*2提,130,8452
2017-8-20,蒙牛旗舰店 酸酸乳营养乳味饮品原味250ml*24包,39.9,13349
2017-8-20,蒙牛旗舰店 早餐奶核桃味牛奶250ml*16盒整箱,41.9,129828
2017-8-20,蒙牛旗舰店 纯甄风味酸牛奶200g*6包,28,2861
2017-8-20,蒙牛旗舰店 特仑苏纯牛奶250ml*12盒*2箱,130,64070
2017-8-20,蒙牛特仑苏纯牛奶250ml×8包整箱 醇香新贵族 贵在优蛋白,42.8,19404
2017-8-20,蒙牛旗舰店 纯甄常温酸牛奶200g*16盒 好酸奶不添加 原味酸奶,75.9,1735
2017-8-20,蒙牛旗舰店 甜小嗨甜牛奶250ml*12盒（女版）,49.9,8939
2017-8-20,蒙牛旗舰店 早餐奶麦香味250ml*16盒整箱 原麦牛奶,43.9,113304
2017-8-20,蒙牛旗舰店 纯甄风味酸牛奶200g*6包*2箱,52.8,4415
2017-8-20,蒙牛 新养道零乳糖牛奶低脂型250ml*12盒整箱,36.9,3430
