l***2,2017-08-17 11:08:03,好东西就是好东西，希望是正品
c***3,2017-08-17 10:45:57,非常满意的一次购物。
c***3,2017-08-17 10:45:10,非常好，太棒了。
风***行,2017-08-17 09:00:16,太难抢了
h***n,2017-08-17 07:32:26,非常好，
q***9,2017-08-17 02:11:39,好
璀***贸,2017-08-16 22:57:21,到了。抢不到啊
璀***贸,2017-08-16 22:57:07,到了。抢不到啊
璀***贸,2017-08-16 22:56:48,到了。抢不到啊
心***1,2017-08-16 22:56:21,挺好的
y***6,2017-08-16 22:42:52,正品
李***5,2017-08-16 21:47:53,除了难抢，什么不错！
李***5,2017-08-16 21:47:01,不错！值得拥有！
c***2,2017-08-16 19:21:47,早上抢到了两支，下午就发货了。。很快，刚好碰到这个星期要请客，用茅台招待刚刚好！
叶***建,2017-08-16 18:28:20,包装保护很好，抢了很久终于抢到一瓶，后悔当初便宜的时候没买，相信官方店的品质，没漏酒
1***边,2017-08-16 17:35:17,太难拍了，不到一秒就没有了
中***居,2017-08-16 16:51:12,茅台嘛，没啥好说的！好酒！
冥***天,2017-08-16 16:36:17,收到货的第一天就一个人喝完了。
冥***天,2017-08-16 16:35:11,好酒好酒，喝一壶。
冥***天,2017-08-16 16:34:01,好酒，没事的时候喝上两杯，人生一大快事啊。
b***e,2017-08-16 16:22:12,ok
s***5,2017-08-16 15:40:46,包装很好，物流也挺快的，还没喝，留着跟习大大喝?
y***t,2017-08-16 15:30:13,好好好好好好好好
s***a,2017-08-16 14:28:32,就是不好抢，但是还天天上架，老得盯着
机***智,2017-08-16 14:28:13,不错哦，茅台拿来收藏可以的，很喜欢哈哈哈哈哈
q***1,2017-08-16 14:02:45,没喝！应该是正品
h***1,2017-08-16 12:05:10,好酒，好快递 给顺丰小哥点个赞
h***1,2017-08-16 12:04:11,好难抢的感脚 好酒赞一个 德邦有些小慢，建议以后都发顺丰
王***歆,2017-08-16 11:48:47,此用户没有填写评论!
王***歆,2017-08-16 11:48:33,此用户没有填写评论!
王***歆,2017-08-16 11:48:21,此用户没有填写评论!
